Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,222.316,-153.67,0,bottom
C2,22pF,C_0805_2012Metric,206.502,-153.8605,0,bottom
C3,22pF,C_0805_2012Metric,206.4995,-159.7025,180,bottom
C4,0.1uF,C_0805_2012Metric,212.852,-162.367,90,bottom
C5,4.7uF,C_0805_2012Metric,222.443,-172.593,180,bottom
C6,0.1uF,C_0805_2012Metric,231.394,-162.621,270,bottom
D1,3.6V,D_SOD-123,210.693,-93.344,270,bottom
D2,3.6V,D_SOD-123,203.2,-93.344,270,bottom
D3,SOD-123,D_SOD-123,72.23125,-90.169,90,bottom
D4,SOD-123,D_SOD-123,77.7875,-108.74375,90,bottom
D5,SOD-123,D_SOD-123,80.16875,-127.85625,90,bottom
D6,SOD-123,D_SOD-123,92.86875,-146.84375,90,bottom
D7,SOD-123,D_SOD-123,75.40625,-165.89375,90,bottom
D8,SOD-123,D_SOD-123,91.28125,-90.169,90,bottom
D9,SOD-123,D_SOD-123,100.80625,-108.74375,90,bottom
D10,SOD-123,D_SOD-123,105.56875,-127.79375,90,bottom
D11,SOD-123,D_SOD-123,99.21875,-165.89375,90,bottom
D12,SOD-123,D_SOD-123,110.33125,-90.169,90,bottom
D13,SOD-123,D_SOD-123,119.85625,-108.74375,90,bottom
D14,SOD-123,D_SOD-123,124.61875,-127.79375,90,bottom
D15,SOD-123,D_SOD-123,115.09375,-146.84375,90,bottom
D16,SOD-123,D_SOD-123,123.03125,-165.89375,90,bottom
D17,SOD-123,D_SOD-123,129.38125,-90.169,90,bottom
D18,SOD-123,D_SOD-123,138.90625,-108.74375,90,bottom
D19,SOD-123,D_SOD-123,143.66875,-127.79375,90,bottom
D20,SOD-123,D_SOD-123,134.14375,-146.84375,90,bottom
D21,SOD-123,D_SOD-123,148.43125,-90.169,90,bottom
D22,SOD-123,D_SOD-123,157.95625,-108.74375,90,bottom
D23,SOD-123,D_SOD-123,162.71875,-127.79375,90,bottom
D24,SOD-123,D_SOD-123,153.19375,-146.84375,90,bottom
D25,SOD-123,D_SOD-123,167.48125,-90.171,90,bottom
D26,SOD-123,D_SOD-123,177.00625,-108.74375,90,bottom
D27,SOD-123,D_SOD-123,181.76875,-127.79375,90,bottom
D28,SOD-123,D_SOD-123,172.24375,-146.84375,90,bottom
D29,SOD-123,D_SOD-123,195.2625,-165.861,90,bottom
D30,SOD-123,D_SOD-123,186.53125,-90.171,90,bottom
D31,SOD-123,D_SOD-123,196.05625,-108.74375,90,bottom
D32,SOD-123,D_SOD-123,200.81875,-127.79375,90,bottom
D33,SOD-123,D_SOD-123,191.29375,-146.84375,90,bottom
D34,SOD-123,D_SOD-123,189.357,-90.17,90,bottom
D35,SOD-123,D_SOD-123,215.10625,-108.74375,90,bottom
